date,finra_D,finra_CC,finra_CM,vix_index,sp500_index,m2_money_supply,federal_funds_rate,market_cap
2012-12-01,355009,162206,211576.0,15.869999885559082,1416.1800537109375,10351.6,0.16,566472.021484375
2012-11-01,351441,135650,202425.0,18.600000381469727,1412.1600341796875,10282.6,0.18,564864.013671875
2012-10-01,342325,124800,200406.0,15.729999542236328,1440.6700439453125,10216.3,0.09,576268.017578125
2012-09-01,339159,129389,205176.0,17.469999313354492,1406.5799560546875,10136.1,0.13,562631.982421875
2012-08-01,320395,124276,196786.0,18.93000030517578,1379.3199462890625,10065.5,0.13,551727.978515625
2012-07-01,313525,124330,194741.0,17.079999923706055,1362.1600341796875,10012.8,0.09,544864.013671875
2012-06-01,320952,138937,192149.0,24.059999465942383,1310.3299560546875,9942.8,0.16,524131.982421875
2012-05-01,315147,139111,187938.0,17.149999618530273,1397.9100341796875,9899.5,0.16,559164.013671875
2012-04-01,335154,138909,182021.0,15.5,1408.469970703125,9846.0,0.09,563387.98828125
2012-03-01,330815,142297,182814.0,18.43000030517578,1365.6800537109375,9802.0,0.1,546272.021484375
2012-02-01,323021,139609,177639.0,19.440000534057617,1312.4100341796875,9750.3,0.11,524964.013671875
2012-01-01,309844,137309,174889.0,23.399999618530273,1257.5999755859375,9677.1,0.04,503039.990234375
2011-12-01,301616,142533,189143.0,27.799999237060547,1246.9599609375,9629.5,0.1,498783.984375
2011-11-01,303930,132934,188259.0,29.959999084472656,1253.300048828125,9577.9,0.09,501320.01953125
2011-10-01,317028,133639,188141.0,42.959999084472656,1131.4200439453125,9545.1,0.06,452568.017578125
2011-09-01,298277,141806,204307.0,31.6200008392334,1218.8900146484375,9524.9,0.08,487556.005859375
2011-08-01,308866,135508,193533.0,25.25,1292.280029296875,9338.4,0.11,516912.01171875
2011-07-01,344572,138316,182957.0,16.520000457763672,1320.6400146484375,9176.5,0.07,528256.005859375
2011-06-01,345273,139575,183547.0,15.449999809265137,1345.199951171875,9102.5,0.1,538079.98046875
2011-05-01,355736,133727,175508.0,14.75,1363.6099853515625,9030.2,0.09,545443.994140625
2011-04-01,360883,133131,175399.0,17.739999771118164,1325.8299560546875,8966.8,0.1,530331.982421875
2011-03-01,355413,133386,170139.0,18.350000381469727,1327.219970703125,8908.8,0.16,530887.98828125
2011-02-01,348979,135760,179102.0,19.530000686645508,1286.1199951171875,8845.0,0.17,514447.998046875
